text,created_at,likes
"Disney XD lets it rip with the 2nd season of Beyblade X on Saturday mornings!
https://t.co/j3NRAnCu9t ➤",2025-07-28 16:24:01+00:00,2
"Check out a new trailer for the upcoming Varlet!
https://t.co/MJY4f6k9aO ➤",2025-07-28 16:04:01+00:00,11
"[Review] Who Made Me a Princess Volumes 7-9 K-Comics Review
The storybook-style epilogue confirms what readers have hoped for since the beginning: that here, living her own life, Athanasia truly becomes the Lovely Princess.
https://t.co/HqbyNH98Tw ➤",2025-07-28 16:00:01+00:00,8
"Calling all Champions! The Digimon Alysion smartphone card game is getting a closed beta test worldwide this August!
https://t.co/LfAY0TbhLq ➤",2025-07-28 15:43:01+00:00,14
"[Review] Anne Shirley ‒ Episode 17
Jo March may not be the only famous children’s book heroine to fling away perfectly good marriage proposals.
https://t.co/mMftQrTnBc ➤",2025-07-28 15:30:01+00:00,16
"Bokura no Natsu ga Saketeiku has 2 chapters left to unmask the truth
https://t.co/3cNmtoI2Zx ➤",2025-07-28 15:00:01+00:00,16
"[Review] Kaiju No. 8 Season 2 ‒ Episode 14
They’re showing what they are capable of and being tested to see if they have what it takes to keep up with the big boys.
https://t.co/CTdSGHUJJw ➤",2025-07-28 14:30:01+00:00,19
Here's your first weekly anime episode and series ranking for Summer 2025. Vote now: https://t.co/NJGJcFxnw8 https://t.co/meL0cjmwIZ,2025-07-28 14:15:11+00:00,27
"Samurai Detective Onihei: Blood for Blood, the live-action special based on Shōtarō Ikenami's Onihei Crime Reports in Edo novel series, is streaming in on the ""24/7 Samurai - Shinobi"" FAST channel
https://t.co/75XYCTbRa5 ➤",2025-07-28 14:01:01+00:00,15
"[Review] Call of the Night Season 2 ‒ Episode 4
Call of the Night flexes its craft with this short and sophisticated story about Kabura's self-discovery. It develops her from a minor character into a person I deeply resonate with.
https://t.co/RDHBr2Glj2 ➤",2025-07-28 13:30:01+00:00,22
